step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
42,CASH_IN,8.46,C604717719,3293.37,3284.91,C205398198,561.39,549.85,0,0
44,CASH_OUT,39.04,C162587954,31021.1,30982.06,C676016093,109.21,0.0,0,0
54,PAYMENT,456.22,C700355592,34676.93,34220.71,M775749615,463.49,167.83,0,0
320,CASH_OUT,92.95,C373680765,2608.96,2516.01,C103645384,262.08,50.17,0,0
524,PAYMENT,289.08,C687504986,2780.39,2516.31,M235938666,1993.41,1920.09,0,0
363,PAYMENT,169.18,C678305987,960.36,791.19,M887434552,1647.92,1465.16,0,0
667,CASH_IN,1911.42,C520102693,11840.05,9928.63,C709930156,71.96,1983.37,0,0
399,PAYMENT,94.95,C859540487,2380.56,2285.61,M367269934,1046.27,926.81,0,0
299,CASH_OUT,1386.36,C551932305,8309.83,6923.48,C259898304,1604.21,1421.08,0,0
602,CASH_IN,339.26,C138830937,7525.77,7186.51,C777384401,573.76,913.01,0,0
57,PAYMENT,110.4,C821384298,26451.46,26341.05,M480843763,701.46,546.84,0,0
501,DEBIT,339.18,C157055624,15446.29,15107.11,C433695988,1830.3,1557.55,0,0
596,CASH_OUT,1038.41,C885054078,1884.44,846.03,C296324010,76.21,0.0,0,0
330,PAYMENT,20.83,C980494757,50079.61,50058.78,M929424438,740.4,734.85,0,0
385,PAYMENT,185.31,C539780007,1075.68,890.36,M752251408,2003.71,1786.07,0,0
715,PAYMENT,54.58,C232796001,1773.56,1718.98,M396197937,6884.45,6708.32,0,0
59,CASH_OUT,132.23,C327930890,63774.91,63642.68,C298859144,25227.73,25014.9,0,0
241,TRANSFER,200.58,C651124502,417.52,216.94,C140771602,5062.96,5273.54,0,0
303,CASH_OUT,265.4,C117688818,1534.84,1269.44,C100675963,16.89,0.0,0,0
213,CASH_OUT,279.69,C138408439,8070.43,7790.74,C477491877,212.5,129.43,0,0
594,CASH_OUT,3639.83,C748617873,17147.42,13507.59,C122298612,166.05,39.22,0,0
446,PAYMENT,604.95,C779970718,4114.47,3509.52,M173379650,2889.05,2864.97,0,0
165,PAYMENT,142.92,C867954747,3406.01,3263.09,M351542158,1625.51,1343.0,0,0
522,CASH_IN,451.13,C117762056,1929.49,1478.36,C162515847,204.1,655.23,0,0
664,TRANSFER,181.1,C805549058,5862.99,5631.89,C439581014,342.23,523.32,0,0
262,CASH_IN,17.67,C379120301,5416.69,5399.01,C134007920,2644.27,2661.94,0,0
11,PAYMENT,700.04,C898504011,11294.49,10594.46,M913905952,627.77,410.7,0,0
360,PAYMENT,2214.4,C944455091,10261.04,8046.65,M855018139,3988.3,3791.26,0,0
229,CASH_OUT,46.05,C693515885,1460.29,1414.24,C253444742,3841.94,3639.84,0,0
357,PAYMENT,783.46,C580150375,6865.32,6086.86,M697700657,324.98,43.49,0,0
132,PAYMENT,1467.67,C732703847,9060.19,7592.53,M338695106,184.08,44.49,0,0
158,CASH_IN,714.44,C567563653,8341.77,7627.33,C418228097,4119.99,4834.43,0,0
515,CASH_OUT,131.7,C421423383,5117.75,4986.06,C787376371,9507.52,9207.66,0,0
